data,faturamento_mensal,faturamento_mes_anterior,faturamento_2_meses_atras,faturamento_3_meses_atras,mes,ano
2016-12-31,19.62,0.0,59090.48,252.24,12,2016
2017-01-31,138488.04,19.62,0.0,59090.48,1,2017
2017-02-28,291908.01,138488.04,19.62,0.0,2,2017
2017-03-31,449863.6,291908.01,138488.04,19.62,3,2017
2017-04-30,417788.03,449863.6,291908.01,138488.04,4,2017
2017-05-31,592918.82,417788.03,449863.6,291908.01,5,2017
2017-06-30,511276.38,592918.82,417788.03,449863.6,6,2017
2017-07-31,592382.92,511276.38,592918.82,417788.03,7,2017
2017-08-31,674396.32,592382.92,511276.38,592918.82,8,2017
2017-09-30,727762.45,674396.32,592382.92,511276.38,9,2017
2017-10-31,779677.88,727762.45,674396.32,592382.92,10,2017
2017-11-30,1194882.8,779677.88,727762.45,674396.32,11,2017
2017-12-31,878401.48,1194882.8,779677.88,727762.45,12,2017
2018-01-31,1115004.18,878401.48,1194882.8,779677.88,1,2018
2018-02-28,992463.34,1115004.18,878401.48,1194882.8,2,2018
2018-03-31,1159652.12,992463.34,1115004.18,878401.48,3,2018
2018-04-30,1160785.48,1159652.12,992463.34,1115004.18,4,2018
2018-05-31,1153982.15,1160785.48,1159652.12,992463.34,5,2018
2018-06-30,1023880.5,1153982.15,1160785.48,1159652.12,6,2018
2018-07-31,1066540.75,1023880.5,1153982.15,1160785.48,7,2018
2018-08-31,1022425.32,1066540.75,1023880.5,1153982.15,8,2018
2018-09-30,4439.54,1022425.32,1066540.75,1023880.5,9,2018
2018-10-31,589.67,4439.54,1022425.32,1066540.75,10,2018
